spell_id	name	description_source	description
408	Kidney Shot	api	Finishing move that stuns the target. Lasts longer per combo point, up to 8 sec:\n   1 point : 4 seconds\n   2 points: 5 seconds\n   3 points: 6 seconds\n   4 points: 7 seconds\n   5 points: 8 seconds
453	Mind Soothe	api	Soothes enemies in the target area, reducing the range at which they will detect you by 10 yards. Only affects Humanoid and Dragonkin targets. Does not cause threat. Lasts 20 sec.
465	Devotion Aura	api	Party and raid members within 40 yds are bolstered by their devotion, reducing damage taken by 3%.
475	Remove Curse	api	Removes all Curses from a friendly target.
498	Divine Protection	api	Reduces all damage you take by 20% for 8 sec. Usable while stunned.
527	Purify	api	Dispels harmful effects on the target, removing all Magic effects.
528	Dispel Magic	api	Dispels Magic on the enemy target, removing 1 beneficial Magic effect.
546	Water Walking	api	Allows the friendly target to walk across water for 10 min. Damage will cancel the effect.
556	Astral Recall	api	Yanks you through the twisting nether back to your inn. Speak to an Innkeeper in a different place to change your home location.
585	Smite	api	Smites an enemy for 372 Holy damage.
586	Fade	api	Fade out, removing all your threat and reducing enemies' detection range against you for 10 sec.
589	Shadow Word: Pain	api	A word of darkness that causes 64 Shadow damage instantly, and an additional 424 Shadow damage over 16 sec.
596	Prayer of Healing	api	A powerful prayer that heals your target and 4 injured allies within 40 yards for 2,230.
605	Mind Control	api	Controls a mind up to 1 level above yours for 30 sec. Does not work versus Demonic, Undead, or Mechanical beings. Shares diminishing returns with other disorienting effects.
633	Lay on Hands	api	Heals a friendly target for an amount equal to 100% your maximum health.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
642	Divine Shield	api	Grants immunity to all damage, harmful effects, knockbacks and forced movement effects for 8 sec. \n\nCannot be used if you have Forbearance. Causes Forbearance for 30 sec.
686	Shadow Bolt	api	Sends a shadowy bolt at the enemy, causing 651 Shadow damage.
688	Summon Imp	api	Summons an Imp under your command that casts ranged Firebolts.
691	Summon Felhunter	api	Summons a Felhunter under your command, able to disrupt the spell casts of your enemies.
697	Summon Voidwalker	api	Summons a Voidwalker under your command, able to withstand heavy punishment.
698	Ritual of Summoning	api	Begins a ritual to create a summoning portal, requiring the caster and 2 allies to complete. This portal can be used to summon party and raid members.
702	Curse of Weakness	api	Increases the time between an enemy's attacks by 20% for 2 min.\n\nCurses: A warlock can only have one Curse active per target.
703	Garrote	api	Garrote the enemy, causing 159 Bleed damage over 18 sec.\n\nAwards 1 combo point.
710	Banish	api	Banishes an enemy Demon, Aberration, or Elemental, preventing any action for 30 sec. Limit 1. Casting Banish again on the target will cancel the effect.
740	Tranquility	api	Heals all allies within 40 yards for 19,417 over 5.4 sec.\n\nHealing decreased beyond 5 targets.
768	Cat Form	api	Shapeshift into Cat Form, increasing auto-attack damage by 40%, movement speed by 30%, granting protection from Polymorph effects, and reducing falling damage.\n\nThe act of shapeshifting frees you from movement impairing effects.
772	Rend	api	Lash out with your weapon, striking all targets within 10 yds for 92 Physical damage instantly and wounding them for an additional 74 Bleed damage over 15 sec.
774	Rejuvenation	api	Heals the target for 1,672 over 12 sec.
781	Disengage	api	Leap backwards.
783	Travel Form	api	Shapeshift into a travel form appropriate to your current location, increasing movement speed on land, in water, or in the air, and granting protection from Polymorph effects.\n\nThe act of shapeshifting frees you from movement impairing effects.
845	Cleave	api	Strikes all enemies in front of you for 90 Physical damage. Deals reduced damage beyond 5 targets.
853	Hammer of Justice	api	Stuns the target for 6 sec.
871	Shield Wall	api	Reduces all damage you take by 40% for 8 sec.
883	Call Pet 1	api	Summons your first pet to you.
921	Pick Pocket	api	Pick the target's pocket.
974	Earth Shield	api	Protects the target with an earthen shield, increasing your healing on them by 20% and healing them for 332 when they take damage. This heal can only occur once every 3 sec. Maximum 9 charges.\n\nEarth Shield can only be placed on one target at a time. Only one Elemental Shield can be active on the Shaman.
980	Agony	api	Inflicts increasing agony on the target, causing up to 2,379 Shadow damage over 18 sec. Damage starts low and increases over the duration. Refreshing Agony maintains its current damage level.\n\nAgony damage sometimes generates 1 Soul Shard.
982	Revive Pet	api	Revives your pet, returning it to life with 100% of its base health.
1022	Blessing of Protection	api	Blesses a party or raid member, granting immunity to Physical damage and harmful effects for 10 sec.\n\nCannot be used on a target with Forbearance. Causes Forbearance for 30 sec.
1044	Blessing of Freedom	api	Blesses a party or raid member, granting immunity to movement impairing effects for 8 sec.
1064	Chain Heal	api	Heals the friendly target for 875, then jumps up to 20 yards to heal the 3 most injured nearby allies. Healing is reduced by 30% with each jump.
1079	Rip	api	Finishing move that causes Bleed damage over time. Lasts longer per combo point.\n\n   1 point  : 8 over 1 sec\n   2 points: 12 over 2 sec\n   3 points: 16 over 3 sec\n   4 points: 20 over 3 sec\n   5 points: 24 over 4 sec
1098	Subjugate Demon	api	Subjugates the target demon up to level 71, forcing it to do your bidding for 10 min.
1122	Summon Infernal	api	Summons an Infernal from the Twisting Nether, impacting for 231 Fire damage and stunning all enemies in the area for 2 sec.\n\nThe Infernal will serve you for 30 sec, dealing 211 damage to all nearby enemies every 1.8 sec and generating 1 Soul Shard Fragment every 1 sec.
1126	Mark of the Wild	api	Infuse a friendly target with the power of the wild, increasing their Versatility by 3% for 60 minutes.\n\nIf target is in your party or raid, all party and raid members will be affected.
1160	Demoralizing Shout	api	Demoralizes all enemies within 10 yards, reducing the damage they deal to you by 20% for 8 sec.
1161	Challenging Shout	api	Taunts all enemies within 10 yds to attack you for 6 sec, and increases the threat you generate against them by 800% for 6 sec.
1449	Arcane Explosion	api	Causes an explosion of magic around the caster, dealing 250 Arcane damage to all enemies within 10 yards.\n\nGenerates 1 Arcane Charge if any targets are hit.
1459	Arcane Intellect	api	Infuses the target with brilliance, increasing their Intellect by 3% for 1 hour.  \n\nIf the target is in your party or raid, all party and raid members will be affected.
1462	Beast Lore	api	Gathers information about the target beast, displaying diet, abilities, specialization, whether or not the creature is tameable, and if it is exotic.
1464	Slam	api	Slams an opponent, causing 106 Physical damage.
1494	Track Beasts	api	Shows the location of all nearby beasts on the minimap.
1513	Scare Beast	api	Scares a beast, causing it to run in fear for up to 20 sec.  Damage caused may interrupt the effect.  Only one beast can be feared at a time.
1515	Tame Beast	api	Tames a beast to be your companion. If you lose the beast's attention for any reason, the taming process will fail.\n\nYou must dismiss any active beast companions and have an empty Call Pet slot before you can begin taming a new beast. Only Beast Mastery specialized Hunters can tame Exotic Beasts.
1543	Flare	api	Exposes all hidden and invisible enemies within the targeted area for 20 sec.
1680	Whirlwind	api	Unleashes a whirlwind of steel, striking all nearby targets for 74 Physical damage. Deals reduced damage beyond 5 targets.
1706	Levitate	api	Levitates a party or raid member for 10 min, floating a few feet above the ground, granting slow fall, and allowing travel over water.
1714	Curse of Tongues	api	Forces the target to speak in Demonic, increasing the casting time of all spells by 30% for 1 min.\n\nCurses: A warlock can only have one Curse active per target.
1715	Hamstring	api	Maims the enemy for 5 Physical damage, reducing movement speed by 50% for 15 sec.
1719	Recklessness	api	Go berserk, increasing all Rage generation by 50% and granting your abilities 20% increased critical strike chance for 12 sec.
1725	Distract	api	Throws a distraction, attracting the attention of all nearby monsters for 10 seconds. Usable while stealthed.
1752	Sinister Strike	api	Viciously strike an enemy, causing 31 Physical damage.\n\nAwards 1 combo point.
1766	Kick	api	A quick kick that interrupts spellcasting and prevents any spell in that school from being cast for 6 sec.
1776	Gouge	api	Gouges the eyes of an enemy target, incapacitating for 4 sec. Damage may interrupt the effect.\n\nMust be in front of your target.\n\nAwards 1 combo point.
1784	Stealth	api	Conceals you in the shadows until cancelled, allowing you to stalk enemies without being seen.
1804	Pick Lock	api	Allows opening of locked chests and doors that require a skill level of up to 70.
1822	Rake	api	Rake the target for 10 Bleed damage and an additional 57 Bleed damage over 15 sec.\n\nAwards 1 combo point.
1833	Cheap Shot	api	Stuns the target for 6 sec.\n\nAwards 1 combo point.
1850	Dash	api	Shift into Cat Form and increase your movement speed by 60% while in Cat Form for 10 sec.
1856	Vanish	api	Allows you to vanish from sight, entering stealth while in combat. For the first 3 sec after vanishing, damage and harmful effects received will not break stealth. Also breaks movement impairing effects.
1943	Rupture	api	Finishing move that tears open the target, dealing Bleed damage over time. Lasts longer per combo point.\n\n   1 point  : 9 over 8 sec\n   2 points: 13 over 12 sec\n   3 points: 18 over 16 sec\n   4 points: 22 over 20 sec\n   5 points: 26 over 24 sec
1953	Blink	api	Teleports you forward 20 yds or until reaching an obstacle, and frees you from all stuns and bonds.
1966	Feint	api	Performs an evasive maneuver, reducing damage taken from area-of-effect attacks by 40% for 6 sec.
2006	Resurrection	api	Brings a dead ally back to life with 35% health and mana. Cannot be cast when in combat.
2008	Ancestral Spirit	api	Returns the spirit to the body, restoring a dead target to life with 35% of maximum health and mana. Cannot be cast when in combat.
2050	Holy Word: Serenity	api	Perform a miracle, healing an ally for 8,253.\n\nCooldown reduced by 6 sec when you cast Flash Heal.
2061	Flash Heal	api	A fast spell that heals an ally for 2,573.
2094	Blind	api	Blinds the target, causing it to wander disoriented for 1 min. Damage may interrupt the effect. Limit 1.
2096	Mind Vision	api	Allows the caster to see through the target's eyes for 1 min. Will not work if the target is in another instance or on another continent.
2098	Dispatch	api	Finishing move that dispatches the enemy, dealing damage per combo point:\n   1 point  : 21 damage\n   2 points: 44 damage\n   3 points: 65 damage\n   4 points: 85 damage\n   5 points: 109 damage
2120	Flamestrike	api	Calls down a pillar of fire, burning all enemies within the area for 1,220 Fire damage. Deals reduced damage beyond 8 targets.\n\nThis spell is cast at a selected location.
2139	Counterspell	api	Counters the enemy's spellcast, preventing any spell from that school of magic from being cast for 7 sec.
2484	Earthbind Totem	api	Summons a totem at the target location for 20 sec that slows the movement speed of enemies within 10 yards by 50%.
2565	Shield Block	api	Raise your shield, blocking all melee attacks against you for 6 sec.
2637	Hibernate	api	Forces the enemy target to sleep for up to 40 sec. Any damage will awaken the target. Only one target can be forced to hibernate at a time. Only works on Beasts and Dragonkin.
2641	Dismiss Pet	api	Temporarily sends this pet away. You can call it back later.
2645	Ghost Wolf	api	Turn into a Ghost Wolf, increasing movement speed by 30% and preventing movement speed from being reduced below 100%.
2649	Growl	db2-plain	Your pet growls at the target, generating threat, taunting the target to attack the pet.
2782	Remove Corruption	api	Nullifies corrupting effects on the friendly target, removing all Curse and Poison effects.
2812	Denounce	api	Casts down the enemy with a bolt of Holy Light, causing 2,899 Holy damage and preventing the target from causing critical effects for the next 8 sec.
2818	Deadly Poison	api	Coats your weapons with a Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy for 27 Nature damage over 12 sec. Subsequent poison applications will instantly deal 2 Nature damage.
2823	Deadly Poison	api	Coats your weapons with a Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy for 27 Nature damage over 12 sec. Subsequent poison applications will instantly deal 2 Nature damage.
2825	Bloodlust	api	Increases haste by 30% for all party and raid members for 40 sec.\n\nAllies receiving this effect will become Sated and unable to benefit from Bloodlust or Time Warp again for 10 min.
2908	Soothe	api	Soothes the target, dispelling all enrage effects.
2948	Scorch	api	Scorches an enemy for 410 Fire damage.\n\nWhen cast on a target below 30% health, Scorch is a guaranteed critical strike.\n\nCastable while moving.
2983	Sprint	api	Increases your movement speed by 70% for 8 sec. Usable while stealthed.
3408	Crippling Poison	api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy, slowing movement speed by 50% for 12 sec.
3411	Intervene	api	Run at high speed toward an ally, intercepting all melee and ranged attacks against them for 6 sec while they remain within 10 yds.
3561	Teleport: Stormwind	api	Teleports you to Stormwind.
3562	Teleport: Ironforge	api	Teleports you to Ironforge.
3563	Teleport: Undercity	api	Teleports you to Undercity.
3565	Teleport: Darnassus	api	Teleports you to Darnassus.
3566	Teleport: Thunder Bluff	api	Teleports you to Thunder Bluff.
3567	Teleport: Orgrimmar	api	Teleports you to Orgrimmar.
3714	Path of Frost	api	Activates a freezing aura for 10 min that creates ice beneath your feet, allowing party or raid members within 50 yards to walk on water.\n\nUsable while mounted, but being attacked or damaged will cancel the effect.
4987	Cleanse	api	Cleanses a friendly target, removing all Magic effects.
5116	Concussive Shot	api	Dazes the target, slowing movement speed by 50% for 6 sec.
5143	Arcane Missiles	api	Requires Clearcasting\nLaunches 5 waves of Arcane Missiles at the enemy over 2.2 sec, causing a total of 2,162 Arcane damage.
5176	Wrath	api	Hurl a ball of energy at the target, dealing 229 Nature damage.
5211	Mighty Bash	api	Invokes the spirit of Ursoc to stun the target for 4 sec. Usable in all shapeshift forms.
5217	Tiger's Fury	api	Instantly restores 50 Energy, and increases the damage of all your attacks by 15% for their full duration. Lasts 10 sec.
5221	Shred	api	Shred the target, causing 75 Physical damage to the target.\n\nAwards 1 combo point.
5225	Track Humanoids	api	Shows the location of all nearby humanoids on the minimap.
5246	Intimidating Shout	api	Causes the targeted enemy to cower in fear while all enemies within 8 yards flee from you and their movement speed is reduced by 70% for 8 sec.\nDamage may cancel the effect.
5277	Evasion	api	Increases your dodge chance by 100% for 10 sec.
5374	Mutilate	api	Instantly attacks for 41 Physical damage.\n\nAwards 1 combo point.
5384	Feign Death	api	Feign death, tricking enemies into ignoring you. Lasts up to 6 min.
5394	Healing Stream Totem	api	Summons a totem at your feet for 15 sec that heals an injured party or raid member within 40 yards for 254 every 1.8 sec.\n\nIf you already know Healing Stream Totem, instead gain 1 additional charge of Healing Stream Totem.
5484	Howl of Terror	api	Let loose a terrifying howl, causing 5 enemies within 10 yds to flee in fear, disorienting them for 20 sec. Damage may cancel the effect.
5487	Bear Form	api	Shapeshift into Bear Form, increasing armor by 220% and Stamina by 25%, granting protection from Polymorph effects, and increasing threat generation.\n\nThe act of shapeshifting frees you from movement impairing effects.
5502	Sense Undead	api	Shows the location of all nearby undead on the minimap until cancelled. Only one form of tracking can be active at a time.
5697	Unending Breath	api	Allows an ally to breathe underwater and increases swim speed by 20% for 10 min.
5740	Rain of Fire	api	Calls down a rain of hellfire the target location, dealing 1,395 Fire damage over 7.1 sec to enemies in the area.\n\nThis spell is cast at a selected location.
5761	Numbing Poison	api	Coats your weapons with a Non-Lethal Poison that lasts for 1 hour. Each strike has a 30% chance of poisoning the enemy, clouding their mind and slowing their attack and casting speed by 15% for 10 sec.
5782	Fear	api	Strikes fear in the enemy, disorienting for 20 sec. Damage may cancel the effect. Limit 1.
5784	Felsteed	api	Summons a Felsteed, which serves as a mount.
5938	Shiv	api	Attack with your off-hand, dealing 2 Physical damage, dispelling all enrage effects and applying a concentrated form of your active Non-Lethal poison.\n\nAwards 1 combo point.
6196	Far Sight	api	Changes your viewpoint to the targeted location for 1 min.
6197	Eagle Eye	api	Changes your viewpoint to the targeted location for 1 min. Only usable outdoors.
6201	Create Healthstone	api	Creates a Healthstone that can be consumed to restore 25% health.
6343	Thunder Clap	api	Blasts all enemies within 8 yards for 82 Physical damage and reduces their movement speed by 20% for 10 sec. Deals reduced damage beyond 5 targets.\n\nIf you know Rend, inflicts Rend on all targets.
6353	Soul Fire	api	Burns the enemy's soul, dealing 10,170 Fire damage and applying Immolate.\n\nGenerates 1 Soul Shard.
6544	Heroic Leap	api	Leap through the air toward a target location, slamming down with destructive force to deal 8 Physical damage to all enemies within 8 yards.
6552	Pummel	api	Pummels the target, interrupting spellcasting and preventing any spell in that school from being cast for 5 sec.
6572	Revenge	api	Swing in a wide arc, dealing 84 Physical damage to all enemies in front of you. Deals reduced damage beyond 5 targets.\n\nYour successful dodges and parries have a chance to make your next Revenge cost no Rage.
6673	Battle Shout	api	Increases the attack power of all raid and party members within 100 yards by 5% for 1 hour.
6770	Sap	api	Incapacitates a target not in combat for 1 min. Only works on Humanoids, Beasts, Demons, and Dragonkin. Damage will revive the target. Limit 1.
6789	Mortal Coil	api	Horrifies an enemy target into fleeing, incapacitating for 3 sec and healing you for 20% of maximum health.
6795	Growl	api	Taunts the target to attack you, and increases the threat you generate against them by 800% for 6 sec.
6807	Maul	api	Maul the target for 76 Physical damage.
6940	Blessing of Sacrifice	api	Blesses a party or raid member, reducing their damage taken by 30%, but you suffer 100% of damage prevented.\n\nLast 12 sec, or until transferred damage would cause you to fall below 20% health.
6991	Feed Pet	api	Feeds your pet the selected item, instantly restoring 50% of its total health. Not usable in combat.\n\nYou may use the Beast Lore ability to identify what types of foods your pet will eat.
7328	Redemption	api	Brings a dead ally back to life with 35% of maximum health and mana. Cannot be cast when in combat.
7384	Overpower	api	Overpower the enemy, dealing 132 Physical damage. Cannot be blocked, dodged, or parried.
8004	Healing Surge	api	A quick surge of healing energy that restores 4,164 of a friendly target's health.
8042	Earth Shock	api	Instantly shocks the target with concussive force, causing 3,011 Nature damage.
8092	Mind Blast	api	Blast the target's mind for 301 Shadow damage. Costs a high amount of mana.
8122	Psychic Scream	api	Lets out a psychic scream, causing all enemies within 8 yards to flee, disorienting them for 8 sec. Damage may interrupt the effect.
8143	Tremor Totem	api	Summons a totem at your feet that shakes the ground around it for 10 sec, removing Fear, Charm and Sleep effects from party and raid members within 30 yards.
8676	Ambush	api	Ambush the target, causing 96 Physical damage.\n\nAwards 2 combo points.
8679	Wound Poison	api	Coats your weapons with a Lethal Poison that lasts for 1 hour. Each strike has a 30% chance to poison the enemy, which instantly inflicts 1 Nature damage and reduces all healing received by 8% for 12 sec, stacking up to 3 times.
8921	Moonfire	api	A quick beam of lunar light burns the enemy for 80 Arcane damage and then an additional 705 Arcane damage over 18 sec.
8936	Regrowth	api	Heals a friendly target for 1,996 and another 287 over 6 sec.
9484	Shackle Horror	api	Shackles an aberration or undead enemy for 50 sec, preventing all actions and movement. Damage will cancel the effect. Limit 1.
10059	Portal: Stormwind	api	Creates a portal, teleporting group members that use it to Stormwind.
10060	Power Infusion	api	Infuses the target with power for 15 sec, increasing haste by 20%.\n\nCan only be cast on players.
10326	Turn Evil	api	The power of the Light compels an Undead, Aberration, or Demon target to flee for up to 40 sec. Damage may break the effect. Lesser creatures have a chance to be destroyed. Only one target can be turned at a time.
10444	Flametongue Attack	api	Imbue your weapon with the element of Fire for 1 hour, increasing the damage of your Fire spells by 5.0%.
11366	Pyroblast	api	Hurls an immense fiery boulder that causes 2,465 Fire damage.
11416	Portal: Ironforge	api	Creates a portal, teleporting group members that use it to Ironforge.
11417	Portal: Orgrimmar	api	Creates a portal, teleporting group members that use it to Orgrimmar.
11418	Portal: Undercity	api	Creates a portal, teleporting group members that use it to Undercity.
11419	Portal: Darnassus	api	Creates a portal, teleporting group members that use it to Darnassus.
11420	Portal: Thunder Bluff	api	Creates a portal, teleporting group members that use it to Thunder Bluff.
11426	Ice Barrier	api	Shields you with ice, absorbing 9,165 damage for 1 min.\n\nMelee attacks against you reduce the attacker's movement speed by 50%.
12051	Evocation	api	Increases your mana regeneration by 1,500% for 2.7 sec.
12294	Mortal Strike	api	A vicious strike that deals 183 Physical damage and reduces the effectiveness of healing on the target by 50% for 10 sec.
12323	Piercing Howl	api	Snares all enemies within 12 yards, reducing their movement speed by 70% for 8 sec.\n\nSpurs all allies within 6 yards, increasing their movement speed by 30% for 4 sec.
12846	Mastery: Ignite	api	Your target burns for an additional 9.9% over 9 sec of the total direct damage caused by your Fireball, Fire Blast,  Pyroblast, and Flamestrike. If this effect is reapplied, any remaining damage will be added to the new Ignite.
12950	Improved Whirlwind	api	Whirlwind causes your next 4 single-target attacks to strike up to 4 additional targets for 65% damage.\n\nWhirlwind generates 3 Rage plus an additional 1 per target hit. Maximum 8 Rage.\n\nIf you know Rend, Whirlwind inflicts Rend on all targets.
13750	Adrenaline Rush	api	Increases your Energy regeneration rate by 75%, your maximum Energy by 50, and your attack speed by 20% for 15 sec.
13819	Summon Warhorse	api	Summons a Warhorse, which serves as a mount.
14161	Ruthlessness	api	Your finishing moves have a 20% chance per combo point spent to grant a combo point.
14190	Seal Fate	api	Critical strikes with attacks that generate combo points grant an additional combo point per critical strike.
14914	Holy Fire	api	Consumes the enemy in Holy flames that cause 1,184 Holy damage and an additional 421 Holy damage over 7 sec.
14983	Vigor	api	Increases your maximum Energy by 50 and Energy regeneration by 5%.
15286	Vampiric Embrace	api	Fills you with the embrace of Shadow energy for 12 sec, causing you to heal a nearby ally for 40% of any single-target Shadow spell damage you deal.
15407	Mind Flay	api	Assaults the target's mind with Shadow energy, causing 2,740 Shadow damage over 4.0 sec and slowing their movement speed by 50%.\n\nGenerates 18 Insanity over the duration.
15487	Silence	api	Silences the target, preventing them from casting spells for 5 sec. Against non-players, also interrupts spellcasting and prevents any spell in that school from being cast for 4 sec.
16166	Master of the Elements	api	Casting Lava Burst increases the damage or healing of your next Nature, Physical, or Frost spell by 15%.
16196	Resurgence	api	Your direct heal criticals refund a percentage of your maximum mana: 0.80% from Healing Wave, 0.48% from Riptide, and 0.20% from Chain Heal.
16864	Omen of Clarity	api	Your auto attacks have a chance to cause a Clearcasting state, making your next Shred or Swipe cost no Energy.
16870	Clearcasting	api	Your healing over time from Lifebloom has a 4% chance to cause a Clearcasting state, making your next Regrowth cost no mana.
16931	Thick Hide	api	Reduces all damage taken by 4%.
16974	Predatory Swiftness	api	Your finishing moves have a 20% chance per combo point to make your next Regrowth or Entangling Roots instant, free, and castable in all forms.
17877	Shadowburn	api	Blasts a target for 1,907 Shadowflame damage. Only usable on enemies that have less than 20% health.\n\nRestores 1 Soul Shard and refunds a charge if the target dies within 5 sec.
17962	Conflagrate	api	Triggers an explosion on the target, dealing 1,358 Fire damage.\n\nGenerates 5 Soul Shard Fragments.
18499	Berserker Rage	api	Go berserk, removing and granting immunity to Fear, Sap, and some Incapacitate effects for 6 sec.
18562	Swiftmend	api	Consume a Regrowth, Wild Growth, or Rejuvenation effect to instantly heal an ally for 3,860.
18960	Teleport: Moonglade	api	Teleport to the Moonglade.\n\nCasting Teleport: Moonglade while in Moonglade will return you back to near your departure point.
19236	Desperate Prayer	api	Increases maximum health by 25% for 10 sec, and instantly heals you for that amount.
19434	Aimed Shot	api	A powerful aimed shot that deals 283 Physical damage.
19574	Bestial Wrath	api	Sends you and your pet into a rage, instantly dealing 280 Physical damage to its target, and increasing all damage you both deal by 20% for 15 sec. Removes all crowd control effects from your pet.
19577	Intimidation	api	Commands your pet to intimidate the target stunning your target for 5 sec.
19750	Flash of Light	api	Quickly heal a friendly target for 1,204.
19801	Tranquilizing Shot	api	Removes 1 Enrage and 1 Magic effect from an enemy target.
19878	Track Demons	api	Shows the location of all nearby demons on the minimap.
19879	Track Dragonkin	api	Shows the location of all nearby dragonkin on the minimap.
19880	Track Elementals	api	Shows the location of all nearby elementals on the minimap.
19882	Track Giants	api	Shows the location of all nearby giants on the minimap.
19883	Track Humanoids	api	Shows the location of all nearby humanoids on the minimap.
19884	Track Undead	api	Shows the location of all nearby undead on the minimap.
19885	Track Hidden	api	Greatly increases stealth detection and shows hidden units within detection range on the minimap.
20243	Devastate	api	A direct strike, dealing 44 Physical damage.
20271	Judgment	api	Judges the target, dealing 258 Holy damage.
20473	Holy Shock	api	Triggers a burst of Light on the target, dealing 811 Holy damage to an enemy, or 2,554 healing to an ally.\n\nGenerates 1 Holy Power.
20484	Rebirth	api	Returns the spirit to the body, restoring a dead target to life with 100% health and at least 20% mana. Castable in combat.
20608	Reincarnation	api	Allows you to resurrect yourself upon death with 20% health and mana. This effect can occur only once every 30 minutes.
20707	Soulstone	api	Stores the soul of the target party or raid member, allowing resurrection upon death. Targets resurrect with 60% health and at least 20% mana.
21562	Power Word: Fortitude	api	Infuses the target with vitality, increasing their Stamina by 5% for 1 hour.\n\nIf the target is in your party or raid, all party and raid members will be affected.
22482	Blade Flurry	db2-template+redirect-unresolved	$@spelldesc319606
22568	Ferocious Bite	api	Finishing move that causes Physical damage per combo point and consumes up to 25 additional Energy to increase damage by up to 100%.\n\n   1 point  : 9 damage\n   2 points: 19 damage\n   3 points: 28 damage\n   4 points: 37 damage\n   5 points: 45 damage
22570	Maim	api	Finishing move that causes Physical damage and stuns the target. Damage and duration increased per combo point:\n\n   1 point  : 5 damage, 1 sec\n   2 points: 10 damage, 2 sec\n   3 points: 15 damage, 3 sec\n   4 points: 20 damage, 4 sec\n   5 points: 26 damage, 5 sec
22812	Barkskin	api	Your skin becomes as tough as bark, reducing all damage you take by 20% and preventing damage from delaying your spellcasts. Lasts 8 sec.\n\nUsable while stunned, frozen, incapacitated, feared, or asleep, and in all shapeshift forms.
22842	Frenzied Regeneration	api	Heals you for 32% health over 3 sec.
23161	Dreadsteed	api	Summons a Dreadsteed, which serves as a mount.
23214	Summon Charger	api	Summons a Charger, which serves as a mount.
23881	Bloodthirst	api	Assault the target in a bloodthirsty craze, dealing 148 Physical damage and restoring 3% of your health.\n\nGenerates 8 Rage and has a 30% chance to Enrage you.
23920	Spell Reflection	api	Raise your weapon, reflecting the first spell cast on you and reducing magic damage you take by 20% for 5 sec.
23922	Shield Slam	api	Slams the target with your shield, causing 80 Physical damage.\n\nGenerates 15 Rage.
24275	Hammer of Wrath	api	Hurls a divine hammer that strikes an enemy for 51 Holy damage.\n\nGenerates 1 Holy Power.
24858	Moonkin Form	api	Shapeshift into Moonkin Form, increasing the damage of your spells by 10% and your armor by 125%, and granting protection from Polymorph effects.\n\nThe act of shapeshifting frees you from movement impairing effects.
25504	Windfury Attack	api	Imbue your main-hand weapon with the element of Wind for 1 hour. Each main-hand attack has a 15% chance to trigger two extra attacks, dealing 9 Physical damage each.
25912	Holy Shock	api	Triggers a burst of Light on the target, dealing 813 Holy damage to an enemy, or 2,500 healing to an ally.\n\nGenerates 1 Holy Power.
27243	Seed of Corruption	api	Embeds a demon seed in the enemy target that will explode after 10.7 sec, dealing 914 Shadow damage to all enemies within 10 yards and applying Corruption to them. Damage reduced beyond 8 targets.\n\nThe seed will detonate early if the target is hit by other detonations, or takes 190 damage from your spells.
29166	Innervate	api	Infuse a friendly healer with energy, allowing them to cast spells without spending mana for 8 sec.
